"0","patriciarobinson","45","Education (EDUC)"
"1","powelltyler","31","Human-Computer Interaction (HCI)"
"2","sophia88","0","Human-Computer Interaction (HCI)"
"3","edwardsrebecca","5","Database Management Systems (DBMS)"
"4","deborahbryant","56","Artificial Intelligence (AI)"
"5","morriskrystal","21","Cyber-Physical Systems and Design Automation (CPSDA)"
"6","zoesmith","29","Operating Systems & Networking (OSNT)"
"7","courtneymiranda","0","Scientific Computing (SCI)"
"8","adamsjessica","20","Biosystems & Computational Biology (BIO)"
"9","morrowderrick","17","Scientific Computing (SCI)"
